exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,AIP,2010-02-08,78.79,78.80,78.79,78.80,200,78.80
AMEX,AIP,2010-02-05,77.80,77.80,76.20,76.20,700,76.20
AMEX,AIP,2010-02-04,78.50,78.50,77.71,77.71,200,77.71
AMEX,AIP,2010-02-03,76.50,76.50,76.50,76.50,000,76.50
AMEX,AIP,2010-02-02,76.25,76.50,76.25,76.50,500,76.50
AMEX,AIP,2010-02-01,73.49,73.49,73.49,73.49,100,73.49
AMEX,AIP,2010-01-29,71.30,71.30,71.30,71.30,500,71.30
AMEX,AIP,2010-01-28,71.50,71.50,71.50,71.50,300,71.50
AMEX,AIP,2010-01-27,71.16,71.16,70.32,70.32,500,70.32
AMEX,AIP,2010-01-26,70.88,70.88,70.88,70.88,000,70.88
AMEX,AIP,2010-01-25,70.88,70.88,70.88,70.88,000,70.88
AMEX,AIP,2010-01-22,70.88,70.88,70.88,70.88,100,70.88
AMEX,AIP,2010-01-21,71.88,71.88,71.36,71.36,200,71.36
AMEX,AIP,2010-01-20,71.25,71.25,71.25,71.25,100,71.25
AMEX,AIP,2010-01-19,72.05,72.05,72.02,72.02,200,72.02
AMEX,AIP,2010-01-15,71.67,71.67,71.67,71.67,000,71.67
AMEX,AIP,2010-01-14,69.71,71.67,69.71,71.67,200,71.67
AMEX,AIP,2010-01-13,68.53,68.53,68.53,68.53,000,68.53
AMEX,AIP,2010-01-12,69.50,69.50,68.53,68.53,300,68.53
AMEX,AIP,2010-01-11,73.42,73.42,73.42,73.42,000,73.42
AMEX,AIP,2010-01-08,73.42,73.42,73.42,73.42,000,73.42
AMEX,AIP,2010-01-07,73.42,73.42,73.42,73.42,100,73.42
AMEX,AIP,2010-01-06,72.81,72.81,72.81,72.81,400,72.81
AMEX,AIP,2010-01-05,73.12,73.51,73.12,73.51,300,73.51
AMEX,AIP,2010-01-04,70.00,70.00,70.00,70.00,400,70.00
AMEX,AIP,2009-12-31,67.23,67.24,67.23,67.24,400,67.24
AMEX,AIP,2009-12-30,69.70,69.70,69.70,69.70,100,69.70
AMEX,AIP,2009-12-29,69.54,69.54,69.54,69.54,000,69.54
AMEX,AIP,2009-12-28,69.54,69.54,69.54,69.54,000,69.54
AMEX,AIP,2009-12-24,71.00,71.00,69.51,69.54,700,69.54
AMEX,AIP,2009-12-23,69.89,69.89,69.89,69.89,100,69.89
AMEX,AIP,2009-12-22,69.89,69.89,68.89,68.89,300,68.89
AMEX,AIP,2009-12-21,67.05,67.05,67.05,67.05,000,67.05
AMEX,AIP,2009-12-18,67.05,67.05,67.05,67.05,000,67.05
AMEX,AIP,2009-12-17,65.95,67.18,65.95,67.05,1000,67.05
AMEX,AIP,2009-12-16,67.00,67.00,66.00,66.25,1100,66.25
AMEX,AIP,2009-12-15,62.73,62.73,61.78,61.78,200,61.78
AMEX,AIP,2009-12-14,63.27,63.27,62.33,62.33,200,62.33
AMEX,AIP,2009-12-11,63.57,63.57,62.71,62.71,400,62.71
AMEX,AIP,2009-12-10,63.70,63.70,61.70,62.75,700,62.75
AMEX,AIP,2009-12-09,65.23,65.23,64.23,64.23,200,64.23
AMEX,AIP,2009-12-08,65.89,65.89,64.90,65.87,700,65.87
AMEX,AIP,2009-12-07,67.68,67.68,67.68,67.68,100,67.68
AMEX,AIP,2009-12-04,68.50,68.55,68.50,68.50,400,68.50
AMEX,AIP,2009-12-03,68.50,68.50,68.50,68.50,000,68.50
AMEX,AIP,2009-12-02,68.50,68.50,68.50,68.50,000,68.50
AMEX,AIP,2009-12-01,68.50,68.50,68.50,68.50,000,68.50
AMEX,AIP,2009-11-30,67.43,68.50,66.71,68.50,2100,68.50
AMEX,AIP,2009-11-27,67.77,67.77,67.77,67.77,300,67.77
AMEX,AIP,2009-11-25,68.15,69.60,68.15,69.60,6000,69.60
AMEX,AIP,2009-11-24,67.15,68.75,67.15,68.75,300,68.75
AMEX,AIP,2009-11-23,71.50,71.50,71.50,71.50,400,71.50
AMEX,AIP,2009-11-20,70.22,70.22,68.34,69.83,300,69.83
AMEX,AIP,2009-11-19,72.22,72.22,70.22,70.22,800,70.22
AMEX,AIP,2009-11-18,69.50,69.50,69.50,69.50,000,69.50
AMEX,AIP,2009-11-17,69.50,69.50,69.50,69.50,000,69.50
AMEX,AIP,2009-11-16,69.50,69.50,69.50,69.50,000,69.50
AMEX,AIP,2009-11-13,69.77,69.77,69.50,69.50,1200,69.50
AMEX,AIP,2009-11-12,70.76,70.96,69.90,70.90,4700,70.90
AMEX,AIP,2009-11-11,68.55,68.55,68.55,68.55,100,68.55
AMEX,AIP,2009-11-10,65.40,66.81,65.40,66.81,2200,66.81
AMEX,AIP,2009-11-09,66.00,66.00,64.10,64.10,900,64.10
AMEX,AIP,2009-11-06,60.20,61.35,60.20,61.35,2000,61.35
AMEX,AIP,2009-11-05,60.60,60.60,60.60,60.60,100,60.60
AMEX,AIP,2009-11-04,61.17,61.17,61.17,61.17,000,61.17
AMEX,AIP,2009-11-03,61.17,61.17,61.17,61.17,000,61.17
AMEX,AIP,2009-11-02,61.18,61.18,59.28,61.17,700,61.17
AMEX,AIP,2009-10-30,61.80,62.03,61.80,62.03,400,62.03
AMEX,AIP,2009-10-29,63.80,63.80,61.94,61.94,700,61.94
AMEX,AIP,2009-10-28,66.50,66.50,66.50,66.50,000,66.50
AMEX,AIP,2009-10-27,66.50,66.50,66.50,66.50,000,66.50
AMEX,AIP,2009-10-26,68.50,68.50,65.50,66.50,800,66.50
AMEX,AIP,2009-10-23,67.78,67.78,67.78,67.78,000,67.78
AMEX,AIP,2009-10-22,67.83,68.83,66.05,67.78,1200,67.78
AMEX,AIP,2009-10-21,64.45,65.64,64.45,64.64,1200,64.64
AMEX,AIP,2009-10-20,64.49,64.49,63.00,63.00,500,63.00
AMEX,AIP,2009-10-19,60.00,61.50,60.00,61.50,1600,61.50
AMEX,AIP,2009-10-16,58.75,58.75,58.75,58.75,000,58.75
AMEX,AIP,2009-10-15,57.75,58.75,57.75,58.75,400,58.75
AMEX,AIP,2009-10-14,59.00,59.00,59.00,59.00,400,59.00
AMEX,AIP,2009-10-13,55.50,55.50,55.50,55.50,000,55.50
AMEX,AIP,2009-10-12,55.25,55.50,55.25,55.50,200,55.50
AMEX,AIP,2009-10-09,54.80,54.80,54.80,54.80,100,54.80
AMEX,AIP,2009-10-08,54.42,54.42,54.41,54.41,200,54.41
AMEX,AIP,2009-10-07,54.19,54.19,54.19,54.19,200,54.19
AMEX,AIP,2009-10-06,54.82,54.82,54.82,54.82,000,54.82
AMEX,AIP,2009-10-05,54.82,54.82,54.82,54.82,000,54.82
AMEX,AIP,2009-10-02,54.82,54.82,54.82,54.82,000,54.82
AMEX,AIP,2009-10-01,55.86,55.96,54.82,54.82,500,54.82
